CITY,TIMEZONE,YEAR,STR_SWH,STR_EWH,STR_TOTAL_WORKINDARK
ANTALYA,  2.0,2024,07:00:00,16:00:00,5:40:59  
ANTALYA,  2.0,2025,07:00:00,16:00:00,5:31:59  
ANTALYA,  2.0,2026,07:00:00,16:00:00,5:32:59  
ANTALYA,  2.0,2024,07:30:00,16:30:00,0:00:00  
ANTALYA,  2.0,2025,07:30:00,16:30:00,0:00:00  
ANTALYA,  2.0,2026,07:30:00,16:30:00,0:00:00  
ANTALYA,  2.0,2024,08:00:00,17:00:00,15:51:00 
ANTALYA,  2.0,2025,08:00:00,17:00:00,15:46:00 
ANTALYA,  2.0,2026,08:00:00,17:00:00,15:49:00 
ANTALYA,  2.0,2024,08:30:00,17:30:00,65:36:00 
ANTALYA,  2.0,2025,08:30:00,17:30:00,65:03:00 
ANTALYA,  2.0,2026,08:30:00,17:30:00,65:03:00 
ANTALYA,  2.0,2024,09:00:00,18:00:00,140:15:00
ANTALYA,  2.0,2025,09:00:00,18:00:00,139:24:00
ANTALYA,  2.0,2026,09:00:00,18:00:00,139:18:00
ANTALYA,  2.5,2024,07:00:00,16:00:00,46:49:59 
ANTALYA,  2.5,2025,07:00:00,16:00:00,46:18:59 
ANTALYA,  2.5,2026,07:00:00,16:00:00,46:18:59 
ANTALYA,  2.5,2024,07:30:00,16:30:00,5:40:59  
ANTALYA,  2.5,2025,07:30:00,16:30:00,5:31:59  
ANTALYA,  2.5,2026,07:30:00,16:30:00,5:32:59  
ANTALYA,  2.5,2024,08:00:00,17:00:00,0:00:00  
ANTALYA,  2.5,2025,08:00:00,17:00:00,0:00:00  
ANTALYA,  2.5,2026,08:00:00,17:00:00,0:00:00  
ANTALYA,  2.5,2024,08:30:00,17:30:00,15:51:00 
ANTALYA,  2.5,2025,08:30:00,17:30:00,15:46:00 
ANTALYA,  2.5,2026,08:30:00,17:30:00,15:49:00 
ANTALYA,  2.5,2024,09:00:00,18:00:00,65:36:00 
ANTALYA,  2.5,2025,09:00:00,18:00:00,65:03:00 
ANTALYA,  2.5,2026,09:00:00,18:00:00,65:03:00 
ANTALYA,  3.0,2024,07:00:00,16:00:00,114:44:00
ANTALYA,  3.0,2025,07:00:00,16:00:00,113:34:00
ANTALYA,  3.0,2026,07:00:00,16:00:00,113:34:00
ANTALYA,  3.0,2024,07:30:00,16:30:00,46:50:00 
ANTALYA,  3.0,2025,07:30:00,16:30:00,46:19:00 
ANTALYA,  3.0,2026,07:30:00,16:30:00,46:19:00 
ANTALYA,  3.0,2024,08:00:00,17:00:00,5:41:00  
ANTALYA,  3.0,2025,08:00:00,17:00:00,5:32:00  
ANTALYA,  3.0,2026,08:00:00,17:00:00,5:33:00  
ANTALYA,  3.0,2024,08:30:00,17:30:00,0:00:00  
ANTALYA,  3.0,2025,08:30:00,17:30:00,0:00:00  
ANTALYA,  3.0,2026,08:30:00,17:30:00,0:00:00  
ANTALYA,  3.0,2024,09:00:00,18:00:00,15:51:00 
ANTALYA,  3.0,2025,09:00:00,18:00:00,15:46:00 
ANTALYA,  3.0,2026,09:00:00,18:00:00,15:49:00 
IGDIR,  2.0,2024,07:00:00,16:00:00,17:20:00 
IGDIR,  2.0,2025,07:00:00,16:00:00,17:07:00 
IGDIR,  2.0,2026,07:00:00,16:00:00,17:07:00 
IGDIR,  2.0,2024,07:30:00,16:30:00,65:53:59 
IGDIR,  2.0,2025,07:30:00,16:30:00,65:10:00 
